timestamp,query,rank,職缺名稱,連結,摘要,model_name,chunk_size,chunk_overlap,,
2025/7/24 16:20,生物相關的職缺有哪些,1,國家衛生研究院神經及精神醫學研究中心陳慧諴研究員誠徵研究助理,https://www.nstc.gov.tw/folksonomy/detail/d0d4ace1-b059-478f-a0d9-f7b571a0bea9?l=ch,生物醫學相關科系學位,all-MiniLM-L6-v2,300,30,,
2025/7/24 16:20,生物相關的職缺有哪些,2,高雄榮總教研部生殖暨粒線體醫學研究室---誠徵博士後研究員,https://www.nstc.gov.tw/folksonomy/detail/47729f59-955a-4b43-addd-5a18d1affa86?l=ch,生物醫學相關領域畢業,all-MiniLM-L6-v2,300,30,,
2025/7/24 16:20,生物相關的職缺有哪些,3,國家衛生研究院癌症研究所 誠徵院內博士後研究員或研究助理一名,https://www.nstc.gov.tw/folksonomy/detail/95244417-fdb2-451f-812c-315ae9e234c4?l=ch,生物醫學相關領域畢業,all-MiniLM-L6-v2,300,30,,
2025/7/24 16:20,生物相關的職缺有哪些,4,台大醫院耳鼻喉部楊宗霖教授徵博士後研究員,https://www.nstc.gov.tw/folksonomy/detail/e2f4f22d-3604-4ce0-854e-94b9a0ce8c10?l=ch,細胞生物相關技術 3,all-MiniLM-L6-v2,300,30,,
2025/7/24 16:20,生物相關的職缺有哪些,5,中國醫藥大學生物醫學研究所誠徵博士後研究員,https://www.nstc.gov.tw/folksonomy/detail/cc8706e2-836d-4f85-94d2-89396360a823?l=ch,生物醫學相關 2,all-MiniLM-L6-v2,300,30,,
2025/7/24 16:21,材料相關的職缺有哪些,1,國立臺北教育大學 自然科學教育學系 盧教授研究室 誠徵短期專任助理（1名）,https://www.nstc.gov.tw/folksonomy/detail/58a73d5c-d7dc-11e6-a406-005056826649?l=ch,有相關工作經驗者尤佳,all-MiniLM-L6-v2,300,30,,
2025/7/24 16:21,材料相關的職缺有哪些,2,國立臺中科技大學應用日語系(含日本市場暨商務策略碩士班)誠徵專任助理教授或副教授教師1名,https://www.nstc.gov.tw/folksonomy/detail/785a448e-1524-4848-b07c-fc4c3599ddb5?l=ch,另持有專業領域相關證照者為佳,all-MiniLM-L6-v2,300,30,,
2025/7/24 16:21,材料相關的職缺有哪些,3,【誠徵博士後研究員】臺北醫學大學代謝與肥胖科學研究所林雅婷老師實驗室,https://www.nstc.gov.tw/folksonomy/detail/b9acd095-8dde-4fe5-91c1-d91b1cebc8b0?l=ch,有參考性相關資料 3,all-MiniLM-L6-v2,300,30,,
2025/7/24 16:21,材料相關的職缺有哪些,4,元智大學教務處 誠徵約聘職員(短期職務代理人 )1名,https://www.nstc.gov.tw/folksonomy/detail/299958f7-c994-4990-8c5a-9a256452f306?l=ch,有統計分析相關學習背景尤佳,all-MiniLM-L6-v2,300,30,,
2025/7/24 16:21,材料相關的職缺有哪些,5,高雄榮總教研部生殖暨粒線體醫學研究室---誠徵博士後研究員,https://www.nstc.gov.tw/folksonomy/detail/47729f59-955a-4b43-addd-5a18d1affa86?l=ch,具有細胞及動物等相關研究經驗尤佳,all-MiniLM-L6-v2,300,30,,
2025-07-24 16:07:59,生物相關的職缺有哪些,1,中國醫藥大學生物醫學研究所誠徵博士後研究員,https://www.nstc.gov.tw/folksonomy/detail/cc8706e2-836d-4f85-94d2-89396360a823?l=ch,生物醫學相關,all-MiniLM-L6-v2,300,30,hybrid_chunking,
2025-07-24 16:07:59,生物相關的職缺有哪些,2,馬偕紀念醫院血液腫瘤科蘇迺文醫師誠徵國科會補助計畫專任助理,https://www.nstc.gov.tw/folksonomy/detail/a78b7d93-b5b4-4bb9-bff5-5888b2d695e6?l=ch,生命科學相關系所,all-MiniLM-L6-v2,300,30,hybrid_chunking,
2025-07-24 16:07:59,生物相關的職缺有哪些,3,高雄榮總教研部生殖暨粒線體醫學研究室---誠徵博士後研究員,https://www.nstc.gov.tw/folksonomy/detail/47729f59-955a-4b43-addd-5a18d1affa86?l=ch,生物醫學相關領域畢業。,all-MiniLM-L6-v2,300,30,hybrid_chunking,
2025-07-24 16:07:59,生物相關的職缺有哪些,4,台大醫院耳鼻喉部楊宗霖教授徵博士後研究員,https://www.nstc.gov.tw/folksonomy/detail/e2f4f22d-3604-4ce0-854e-94b9a0ce8c10?l=ch,細胞生物相關技術,all-MiniLM-L6-v2,300,30,hybrid_chunking,
2025-07-24 16:07:59,生物相關的職缺有哪些,5,國家衛生研究院癌症研究所 誠徵院內博士後研究員或研究助理一名,https://www.nstc.gov.tw/folksonomy/detail/95244417-fdb2-451f-812c-315ae9e234c4?l=ch,具有生化、細胞、分生背景及細胞培養等相關研究經驗。,all-MiniLM-L6-v2,300,30,hybrid_chunking,
2025-07-24 16:04:57,材料相關的職缺有哪些？,1,國立中山大學新海研3號貴重儀器使用中心誠徵專任技術員1名,https://www.nstc.gov.tw/folksonomy/detail/ddc2e921-92c5-4004-8c2f-be2373c53f52?l=ch,相關應徵資料予以保密，合者約談，不合者恕不另行通知。 發佈日期：2025-07-04 00:00:00,all-MiniLM-L6-v2,300,30,hybrid_chunking,
